sess,om,em,rr,filt,N,ExpR,clt,clp,posyrs,nyrs,oosN,oos
TOKYO_OPEN,5,E1,1.0,ORB_G8,120,0.022035833333333345,0.12345888685418459,0.9028162773745378,2,3,299,-0.2048541806020067
TOKYO_OPEN,5,E1,1.5,NO_FILTER,4493,-0.2384363009125306,-8.415730185875228,1.4880587821820507e-16,0,4,443,-0.09168532731376976
TOKYO_OPEN,5,E1,1.5,ORB_G4,538,0.0232189591078067,0.22740426961949434,0.8205353882135459,2,4,428,-0.10714602803738317
TOKYO_OPEN,5,E1,1.5,ORB_G6,265,-0.00958037735849056,-0.06530554329617619,0.948181152744164,2,3,363,-0.0926611570247934
TOKYO_OPEN,5,E1,1.5,ORB_G8,120,0.07862416666666666,0.3560805321294735,0.7250257259652272,2,3,299,-0.15089933110367895
TOKYO_OPEN,5,E1,2.0,NO_FILTER,4493,-0.227855419541509,-6.791995630773841,1.9865892051778416e-11,0,4,443,-0.07795056433408577
TOKYO_OPEN,5,E1,2.0,ORB_G4,538,0.07658252788104088,0.6204930346073624,0.5362284505100222,3,4,428,-0.10238855140186916
TOKYO_OPEN,5,E1,2.0,ORB_G6,265,0.02818603773584906,0.15925921300706886,0.8740816223908515,2,3,363,-0.08694655647382918
TOKYO_OPEN,5,E1,2.0,ORB_G8,120,0.12632999999999997,0.4807589311517236,0.6352294409643895,2,3,299,-0.15609397993311036
TOKYO_OPEN,5,E2,1.0,NO_FILTER,918,-0.2132880174291939,-8.773798712658724,8.307322371433395e-18,0,4,93,-0.08565591397849462
TOKYO_OPEN,5,E2,1.0,ORB_G4,110,0.10089909090909088,1.170772943669471,0.2442432662940449,3,4,90,-0.07402
TOKYO_OPEN,5,E2,1.0,ORB_G6,53,0.20237924528301884,1.6227316744386993,0.11069469529071288,3,3,77,-0.034812987012987004
TOKYO_OPEN,5,E2,1.5,NO_FILTER,918,-0.2237028322440087,-7.428978590270426,2.503528392167924e-13,1,4,93,-0.058913978494623626
TOKYO_OPEN,5,E2,1.5,ORB_G4,110,0.10340727272727275,0.942864260863435,0.347835464369159,4,4,90,-0.05109777777777776
TOKYO_OPEN,5,E2,1.5,ORB_G6,53,0.19026037735849058,1.1742743386344356,0.24563503500251468,3,3,77,-0.008820779220779201
TOKYO_OPEN,5,E2,2.0,NO_FILTER,918,-0.23699869281045752,-6.797529688866752,1.915302435290518e-11,1,4,93,-0.05587849462365592
TOKYO_OPEN,5,E2,2.0,ORB_G4,110,0.12392818181818183,0.9572699345642651,0.340549442033244,3,4,90,-0.05267111111111112
