strategy_id,orb_label,entry_model,rr_target,confirm_bars,filter_type,regime_n,regime_wr,regime_exp_r,regime_sharpe,regime_maxdd,regime_validated,full_n,full_wr,full_exp_r,full_sharpe,full_maxdd,full_validated,delta_exp_r,delta_sharpe
MGC_0900_E1_RR2.0_CB5_NO_FILTER,0900,E1,2.0,5,NO_FILTER,241,0.3833,-0.0695,-0.0579,23.1345,False,1202,0.3264,-0.3599,-0.3743,442.76,False,0.2904,0.3164
MGC_0900_E2_RR2.5_CB1_ORB_L8,0900,E2,2.5,1,ORB_L8,228,0.3202,-0.1557,-0.1243,39.9448,False,1182,0.2636,-0.446,-0.4604,530.8913,False,0.2903,0.3361
MGC_0900_E3_RR2.5_CB2_NO_FILTER,0900,E3,2.5,2,NO_FILTER,245,0.3469,-0.1058,-0.084,33.9318,False,1203,0.3072,-0.3959,-0.405,489.9996,False,0.2901,0.321
MGC_1100_E3_RR3.0_CB5_ORB_L6,1100,E3,3.0,5,ORB_L6,148,0.3108,-0.0311,-0.0213,15.4665,False,1055,0.2488,-0.3209,-0.2668,342.3522,False,0.2898,0.2455
MGC_0900_E1_RR4.0_CB1_ORB_L8,0900,E1,4.0,1,ORB_L8,228,0.2281,-0.1498,-0.0941,44.3884,False,1182,0.1939,-0.4393,-0.3658,524.3918,False,0.2895,0.2717
MGC_0900_E1_RR2.5_CB2_ORB_L8,0900,E1,2.5,2,ORB_L8,227,0.3304,-0.1089,-0.0845,29.8582,False,1170,0.2808,-0.3983,-0.3951,471.3247,False,0.2894,0.3106
MGC_0900_E2_RR2.5_CB4_ORB_L3,0900,E2,2.5,4,ORB_L3,146,0.3356,-0.1297,-0.1046,24.2178,False,1049,0.2729,-0.419,-0.4281,443.6504,False,0.2893,0.3235
MGC_0030_E3_RR2.5_CB4_ORB_L3,0030,E3,2.5,4,ORB_L3,32,0.3871,0.0032,0.0025,7.8437,False,554,0.296,-0.2859,-0.2573,144.3744,False,0.2891,0.2598
MGC_1000_E1_RR4.0_CB1_NO_FILTER,1000,E1,4.0,1,NO_FILTER,255,0.253,-0.0066,-0.0038,31.551,False,1274,0.2175,-0.2954,-0.2143,403.4354,False,0.2888,0.2105
MGC_0900_E1_RR2.0_CB5_ORB_L3,0900,E1,2.0,5,ORB_L3,146,0.3904,-0.1221,-0.1097,21.328,False,1049,0.3206,-0.4108,-0.4623,433.9026,False,0.2887,0.3526
MGC_1100_E2_RR4.0_CB2_ORB_L6,1100,E2,4.0,2,ORB_L6,156,0.2532,0.0504,0.0277,27.0065,False,1138,0.207,-0.2379,-0.1575,294.3336,False,0.2883,0.1852
MGC_0900_E2_RR1.0_CB2_ORB_L2,0900,E2,1.0,2,ORB_L2,102,0.6176,-0.1591,-0.2363,20.7573,False,948,0.4931,-0.4472,-0.7649,425.5593,False,0.2881,0.5286
